,product_id,transaction_date,delivery_month,close_price,volume,open_interest
0,cu_f,20260129,2602,108670.0,53355.0,51803.0
1,cu_f,20260129,2603,109110.0,452684.0,242831.0
2,cu_f,20260129,2604,109400.0,186033.0,158366.0
3,cu_f,20260129,2605,109600.0,100082.0,101173.0
4,cu_f,20260129,2606,109600.0,39110.0,42827.0
5,cu_f,20260129,2607,109570.0,10208.0,19282.0
6,cu_f,20260129,2608,109460.0,7474.0,13786.0
7,cu_f,20260129,2609,109480.0,10491.0,23023.0
8,cu_f,20260129,2610,109600.0,3226.0,9595.0
9,cu_f,20260129,2611,109470.0,2423.0,12235.0
10,cu_f,20260129,2612,109540.0,4559.0,10933.0
11,cu_f,20260129,2701,109350.0,856.0,1525.0
12,bc_f,20260129,2602,96360.0,1743.0,1510.0
13,bc_f,20260129,2603,97290.0,14547.0,6125.0
14,bc_f,20260129,2604,97210.0,1579.0,2497.0
15,bc_f,20260129,2605,98320.0,60.0,567.0
16,bc_f,20260129,2606,97110.0,5.0,14.0
17,bc_f,20260129,2607,95660.0,5.0,3.0
18,bc_f,20260129,2608,92040.0,0.0,0.0
19,bc_f,20260129,2609,91220.0,0.0,0.0
20,bc_f,20260129,2610,97190.0,3.0,0.0
21,bc_f,20260129,2611,95060.0,0.0,0.0
22,bc_f,20260129,2612,95330.0,0.0,2.0
23,bc_f,20260129,2701,98070.0,0.0,0.0
24,al_f,20260129,2602,25455.0,39830.0,47477.0
25,al_f,20260129,2603,25590.0,1013509.0,342527.0
26,al_f,20260129,2604,25655.0,272069.0,207255.0
27,al_f,20260129,2605,25700.0,194131.0,132478.0
28,al_f,20260129,2606,25745.0,44945.0,37981.0
29,al_f,20260129,2607,25690.0,11717.0,12414.0
30,al_f,20260129,2608,25715.0,4623.0,7475.0
31,al_f,20260129,2609,25750.0,6534.0,7284.0
32,al_f,20260129,2610,25730.0,2568.0,3455.0
33,al_f,20260129,2611,25745.0,1631.0,2296.0
34,al_f,20260129,2612,25695.0,3561.0,3965.0
35,al_f,20260129,2701,25730.0,1149.0,848.0
36,zn_f,20260129,2602,25910.0,12293.0,13111.0
37,zn_f,20260129,2603,25950.0,329041.0,114501.0
38,zn_f,20260129,2604,26010.0,99085.0,76574.0
39,zn_f,20260129,2605,26025.0,48895.0,29471.0
40,zn_f,20260129,2606,26005.0,4176.0,4264.0
41,zn_f,20260129,2607,25995.0,1052.0,2186.0
42,zn_f,20260129,2608,26060.0,195.0,736.0
43,zn_f,20260129,2609,26070.0,591.0,1229.0
44,zn_f,20260129,2610,26100.0,87.0,177.0
45,zn_f,20260129,2611,26090.0,71.0,164.0
46,zn_f,20260129,2612,26120.0,62.0,202.0
47,zn_f,20260129,2701,26125.0,31.0,47.0
48,pb_f,20260129,2602,17095.0,3929.0,7563.0
49,pb_f,20260129,2603,17185.0,87949.0,59088.0
50,pb_f,20260129,2604,17255.0,29987.0,32499.0
51,pb_f,20260129,2605,17295.0,3204.0,5041.0
52,pb_f,20260129,2606,17305.0,219.0,524.0
53,pb_f,20260129,2607,17335.0,46.0,121.0
54,pb_f,20260129,2608,17495.0,25.0,58.0
55,pb_f,20260129,2609,17430.0,207.0,334.0
56,pb_f,20260129,2610,17415.0,111.0,126.0
57,pb_f,20260129,2611,17390.0,348.0,368.0
58,pb_f,20260129,2612,17405.0,39.0,64.0
59,pb_f,20260129,2701,17480.0,75.0,85.0
60,ni_f,20260129,2602,146990.0,180688.0,15767.0
61,ni_f,20260129,2603,147470.0,783275.0,136553.0
62,ni_f,20260129,2604,147610.0,64832.0,54100.0
63,ni_f,20260129,2605,147860.0,206363.0,126311.0
64,ni_f,20260129,2606,147770.0,20953.0,20576.0
65,ni_f,20260129,2607,147770.0,1732.0,4861.0
66,ni_f,20260129,2608,147460.0,1171.0,4519.0
67,ni_f,20260129,2609,148000.0,18246.0,14294.0
68,ni_f,20260129,2610,147820.0,1233.0,5403.0
69,ni_f,20260129,2611,147930.0,600.0,1160.0
70,ni_f,20260129,2612,148170.0,938.0,3307.0
71,ni_f,20260129,2701,148620.0,297.0,334.0
72,sn_f,20260129,2602,445180.0,21451.0,5956.0
73,sn_f,20260129,2603,446130.0,365707.0,48668.0
74,sn_f,20260129,2604,446740.0,56026.0,23735.0
75,sn_f,20260129,2605,447000.0,43084.0,18355.0
76,sn_f,20260129,2606,447750.0,6849.0,6846.0
77,sn_f,20260129,2607,447820.0,1065.0,1344.0
78,sn_f,20260129,2608,447560.0,188.0,975.0
79,sn_f,20260129,2609,446990.0,226.0,407.0
80,sn_f,20260129,2610,447760.0,108.0,168.0
81,sn_f,20260129,2611,445830.0,35.0,116.0
82,sn_f,20260129,2612,445930.0,68.0,252.0
83,sn_f,20260129,2701,446160.0,34.0,78.0
84,ao_f,20260129,2602,2630.0,7729.0,10748.0
85,ao_f,20260129,2603,2755.0,31388.0,50440.0
86,ao_f,20260129,2604,2780.0,5858.0,22654.0
87,ao_f,20260129,2605,2816.0,833895.0,468246.0
88,ao_f,20260129,2606,2823.0,6357.0,33835.0
89,ao_f,20260129,2607,2844.0,3658.0,9640.0
90,ao_f,20260129,2608,2874.0,362.0,1070.0
91,ao_f,20260129,2609,2894.0,21842.0,47609.0
92,ao_f,20260129,2610,2926.0,209.0,626.0
93,ao_f,20260129,2611,2932.0,101.0,610.0
94,ao_f,20260129,2612,2949.0,89.0,640.0
95,ao_f,20260129,2701,2976.0,139.0,266.0
96,ad_f,20260129,2602,23750.0,421.0,1672.0
97,ad_f,20260129,2603,23850.0,24936.0,7725.0
98,ad_f,20260129,2604,23935.0,5375.0,10878.0
